* 통계표명 :,지가변동률_연도별,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,1975년 ~ 2021년,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,1975년 ~ 2021년,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,국토교통부,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2022.10.31 04:05:16,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
지 역,,,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
,(구)사하구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)금정구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)강서구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대구,,,-1.05,0.42,2.09,1.54,1.58,3.317,4.185,2.911,-0.451,0.284,1.401,1.398,1.583,1.679,3.149,4.059,3.931,4.58,5.011,4.553,3.404,4.376
,중구,,-1.4,-0.52,0.99,0.37,0.05,-0.104,1.929,1.303,-0.087,0.016,0.845,0.601,0.877,0.694,2.234,3.172,4.209,4.619,5.408,5.491,3.65,4.171
,동구,,-1.47,0.12,1.82,1.4,1.85,4.881,6.483,3.488,-0.567,0.18,1.868,2.693,2.607,2.186,3.237,4.244,3.712,4.546,4.918,4.916,3.581,4.254
,서구,,-1.18,-0.2,2.01,0.88,1.65,1.416,1.412,1.332,-0.523,0.025,0.789,0.664,1.116,1.347,2.504,3.637,3.544,4.304,4.877,4.405,3.507,4.414
,남구,,-1.36,0.09,0.27,0.07,0.28,0.979,2.248,2.178,-0.439,0.334,0.804,0.531,0.657,0.752,2.217,4.124,4.203,3.837,4.295,5.248,3.577,3.532
,북구,,-1.02,1.01,1.34,1.91,1.91,2.617,4.205,2.209,-1.318,0.042,1.001,0.776,1.127,1.697,2.807,3.815,3.704,4.378,4.092,3.796,3.059,3.752
,수성구,,-1.4,0.42,4.19,2.96,1.62,4.345,4.213,2.826,-0.182,0.104,1.113,0.824,1.371,1.552,3.229,4.428,4.405,5.537,7.168,6.53,4.589,6.672
,달서구,,-0.7,0.91,2.22,1.42,1.35,5.103,5.36,3.675,-1.341,0.118,1.282,1.465,1.569,1.551,3.08,3.794,3.519,4.381,4.495,3.559,3.488,3.895
,달성군,,0,0.64,2.79,2.13,3.6,4.238,4.976,5.062,1.921,1.662,3.165,2.982,2.561,2.61,4.712,4.731,4.397,4.231,4.179,3.145,1.56,2.888
(구)대구직할시,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)중구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)동구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)서구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)남구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)북구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)수성구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)달서구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
인천,,,1.07,1.77,11.51,2.5,4.32,4.937,5.58,4.851,1.366,1.987,1.434,0.658,0.464,0.87,1.35,1.951,1.737,3.098,3.588,4.03,3.762,4.099
,중구,,5.59,2.63,14.73,2.42,5.49,7.455,8.331,6.996,1.465,0.967,0.507,0.349,-0.937,-0.225,2.543,2.236,1.848,2.421,2.64,3.106,3.317,3.435
,동구,,0.54,1.74,9.26,1.88,4.21,4.848,5.272,5.089,1.149,1.923,1.634,0.638,-0.148,0.51,1.695,1.127,1.498,2.205,2.659,2.261,2.712,3.2
,남구,,-0.09,1.34,9.43,1.91,3.44,3.635,4.998,4.875,5.345,1.847,0.969,0.056,0.035,0.743,0.718,1.456,1.557,2.863,-,-,-,-
,미추홀구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.715,3.909,3.736,4.403
,연수구,,0.54,1.92,11.58,3.08,4.86,4.603,5.327,5.131,1.167,1.997,1.19,0.454,1.36,1.338,1.619,2.125,1.797,3.176,3.889,4.246,3.557,4.167
,남동구,,0.42,1.86,10.16,2.36,3.44,3.839,5.523,4.412,-0.553,1.573,1.386,0.636,0.567,1.1,1.882,1.875,1.863,3.289,3.878,4.334,4.08,4.499
,부평구,,0.3,1.66,12.29,2.11,3.7,4.756,2.668,3.931,-0.4,1.906,1.484,0.546,0.366,0.369,0.554,1.915,1.415,3.862,3.562,4.386,4.345,4.292
,계양구,,0.43,1.64,12.85,2.47,4.2,4.797,3.473,3.834,-0.382,2.481,1.663,1.437,0.247,1.182,1.407,2.045,1.375,2.913,3.514,5.004,4.713,4.793
,서구,,0.4,1.77,13.06,3.21,5.13,6.325,9.394,5.979,3.02,2.888,1.853,1.106,1.264,1.575,1.022,2.329,2.071,3.341,3.845,4.208,3.712,4.077
,강화군,,3.46,0.87,5.39,3.54,5.09,3.73,1.152,1.562,0.681,1.68,2.557,0.655,0.168,-0.163,-0.11,0.551,1.096,2.801,3.734,3.355,3.31,3.144
,옹진군,,1.9,2.24,3.5,2.14,2.1,2.806,3.196,3.198,-0.355,3.212,3.439,1.116,-0.272,-0.163,1.277,0.921,0.95,1.952,2.259,2.883,2.988,3.495
(구)인천직할시,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)중구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)동구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)남구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)남동구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)북구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)서구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
광주,,,-0.31,-0.37,1.03,0.91,0.68,1.865,1.442,0.941,-0.896,0.333,0.666,0.751,1.152,0.746,1.313,2.869,2.823,4.174,5.256,4.769,3.884,3.467
,동구,,-1.65,-1.93,-0.3,0.03,-0.65,-3.724,0.345,0.697,-1.094,0.25,0.412,0.365,0.532,0.627,1.559,2.223,2.601,3.588,5.153,5.11,3.754,3.224
,서구,,0.11,0.05,1.21,0.97,0.82,1.262,1.227,1.199,-0.626,0.532,0.889,0.636,1.162,0.63,1.596,3.105,2.992,3.887,5.711,5.028,3.784,3.33
,남구,,-0.42,-0.13,0.5,0.43,0.5,2.937,0.8,0.387,-0.956,0.535,0.713,0.8,0.956,0.837,1.217,2.852,2.498,5.232,6.226,5.001,3.95,3.279
,북구,,-0.43,-0.25,0.88,0.09,0.15,2.54,2.036,0.436,-1.27,0.155,0.447,0.838,1.049,0.971,1.111,2.611,2.161,3.503,4.139,3.816,3.303,3.521
,광산구,,0.82,0.21,2.71,2.83,2.28,4.504,1.855,1.636,-0.643,0.302,0.781,0.89,1.548,0.644,1.22,3.142,3.455,4.697,5.474,5.122,4.428,3.673
(구)광주직할시,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)동구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)서구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)북구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)광산구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대전,,,-0.24,1,3.24,5.47,2.25,6.803,4.154,1.481,-0.968,0.26,1.549,1.469,1.252,1.011,1.844,3.112,3.448,3.363,3.342,4.25,4.578,4.672
,동구,,-2.13,-0.04,1.52,2.86,3,9.04,7.75,2.235,-0.856,0.733,1.378,1.147,0.769,0.442,1.06,2.004,2.953,2.873,2.714,3.256,4.007,3.836
,중구,,-1.63,-0.42,1.05,2.15,1.33,1.85,3.287,0.917,-1.129,0.207,1.406,1.258,0.97,0.653,1.185,2.116,2.494,2.887,2.811,4.529,4.599,4.854
,서구,,0.39,2.08,4.79,7.7,1.26,6.226,2.385,1.096,-0.887,0.189,1.724,1.346,1.153,1.188,1.604,2.394,3.452,3.336,3.72,4.478,4.62,4.368
,유성구,,1.11,1.26,4.66,7.44,4.08,10.202,4.883,1.813,-0.946,0.236,1.49,1.921,1.702,1.348,2.87,4.996,4.217,3.883,3.729,4.874,5.08,5.376
,대덕구,,0.24,1.16,2.04,3.43,1.57,4.407,4.346,1.547,-1.126,0.005,1.625,1.108,1.098,0.613,1.091,2.002,2.869,3.083,2.685,2.645,3.602,4.047
(구)대전직할시,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)중구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)동구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)서구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)남구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)북구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
