지 역,,,1975년,1976년,1977년,1978년,1979년,1980년,1981년,1982년,1983년,1984년,1985년,1986년,1987년,1988년,1989년,1990년,1991년,1992년,1993년,1994년,1995년,1996년,1997년,1998년,1999년,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
부산,,,-,-,-,-,-,-,-,-,-,-,-,-,46.5,35.25,17.49,15.82,14.69,-1.57,-6.77,-0.35,0.14,0.4,-0.9,-16.52,1.24,-0.53,0.49,3.28,1.09,0.89,1.862,2.496,2.164,-0.174,0.107,1.216,1.579,1.731,1.568,2.278,3.094,4.174,6.507,5.739,3.761,3.75,4.042
,중구,,-,-,-,-,-,-,-,-,-,-,-,-,33.07,26.26,19.17,17.39,13.7,-2.38,-7.36,-0.58,-0.28,0.05,-1.74,-21.69,0.65,-0.6,0.07,2.75,0.74,0.22,0.251,0.088,-0.134,-2.068,0.018,1.053,1.151,1.007,1.577,1.934,2.964,3.55,4.505,4.573,3.825,1.774,2.009
,서구,,-,-,-,-,-,-,-,-,-,-,-,-,40.09,24.46,15.58,17.13,16.42,-0.82,-6.39,-1.22,-0.33,0.22,-1.1,-15.83,0.68,0.61,-0.07,2.09,0.75,0.28,0.638,0.705,0.13,-0.717,0.018,0.962,1.164,1.492,1.114,2.175,2.66,3.357,5.74,5.153,3.219,2.739,3.464
,동구,,-,-,-,-,-,-,-,-,-,-,-,-,31.4,25.08,15.14,16.87,15.81,-1.09,-6.99,-1.21,-0.81,0.22,-0.88,-17.05,0.59,-1.73,0.19,2.29,0.79,0.53,0.149,0.4,0.078,-1.647,-0.705,0.433,1.138,0.647,1.435,2.182,2.473,2.943,5.365,5.355,3.095,3.016,3.172
,영도구,,-,-,-,-,-,-,-,-,-,-,-,-,27.16,24.98,14.3,17.54,15.41,-2.87,-6.39,-0.24,-0.94,0.68,-1.02,-15.43,0.31,-0.76,0.18,1.05,0.63,0.17,0.354,1.195,1.645,-1.481,0.287,1.048,1.227,1.423,1.25,1.818,2.292,2.416,4.885,3.694,3.134,2.778,2.8
,부산진구,,-,-,-,-,-,-,-,-,-,-,-,-,33.33,31.27,16.31,15.39,17.68,-0.5,-6.7,0.35,-0.07,0.55,-1.46,-17.45,1.31,-0.82,0.74,2.25,0.68,0.6,1.66,2.741,0.913,-1.437,-0.041,0.942,1.577,1.386,1.828,2.621,3.605,4.48,5.906,5.404,3.659,5.242,5.342
,동래구,,-,-,-,-,-,-,-,-,-,-,-,-,47.1,38.96,14.82,15.73,13.62,-1.33,-7.14,-1.2,0,0.19,-0.79,-16.35,0.77,-0.92,0.5,1.82,0.61,0.36,0.615,2.291,2.558,-0.749,-0.049,1.08,1.477,1.972,1.624,2.485,3.55,4.637,6.932,6.754,5.134,5.032,4.052
,남구,,-,-,-,-,-,-,-,-,-,-,-,-,46.56,60.32,15.13,13.22,9.61,-2.71,-7.36,-0.04,0.53,0.56,-0.18,-16.77,0.66,-1.02,0.5,1.78,0.68,0.39,0.836,1.282,0.958,-1.026,-0.168,0.86,1.149,1.9,1.975,2.941,3.465,4.87,6.85,6.065,4.175,4.563,4.78
,북구,,-,-,-,-,-,-,-,-,-,-,-,-,71.65,28.02,21.71,12.71,12.53,-3.96,-7.17,-0.98,0.35,0.59,-0.94,-17.25,1.19,-1.09,0.38,2.65,1.49,0.44,0.603,1.224,1.186,-1.026,-0.143,1.001,1.398,1.368,1.274,1.852,2.348,3.304,4.78,4.652,3.382,2.344,3.132
,해운대구,,-,-,-,-,-,-,-,-,-,-,-,-,64.03,38.45,16.02,15.06,16.15,-0.93,-6.96,1.3,0.08,0.2,-1.01,-17.82,0.67,-0.88,0.51,3.86,0.88,0.44,2.193,1.977,1.054,-0.028,0.179,1.082,1.505,2.125,1.477,2.356,3.821,7.415,9.054,7.948,5.602,5.795,6.196
,사하구,,-,-,-,-,-,-,-,-,-,-,-,-,59.69,25.9,20.58,17.38,17.46,-1.24,-7.24,-0.14,0.57,0.18,-0.92,-16.21,0.77,-1.53,0.13,3.19,0.89,0.35,1.14,2.178,2.861,-0.138,0.003,1.117,1.597,1.418,0.857,1.706,2.162,2.687,4.408,3.744,2.712,2.639,2.848
,금정구,,-,-,-,-,-,-,-,-,-,-,-,-,-,40.1,19.48,17.77,14.24,-2.06,-6.59,-0.26,-0.25,0.2,-1.22,-16.24,1.17,1.35,0.08,1.99,1.35,0.82,2.226,3.082,2.129,-0.525,0.029,1.096,1.67,1.747,1.77,2.111,2.713,3.888,6.723,5.995,4.016,3.474,3.48
